EMPLOYEE_ID,F_NAME,L_NAME,EMAIL,PHONE,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,5151234567,17-JUN-03,AD_PRES,2400000,0,0,90
101,Neena,Kochhar,NKOCHHAR,5151234568,21-SEP-05,AD_VP,1700000,0,100,90
102,Lex,DeHaan,LDEHAAN,5151234569,13-JAN-01,AD_VP,1700000,0,100,90
103,Alexander,Hunold,AHUNOLD,5904234567,03-JAN-06,IT_PROG,900000,0,102,60
104,Bruce,Ernst,BERNST,5904234568,21-MAY-07,IT_PROG,600000,0,103,60
105,David,Austin,DAUSTIN,5904234569,25-JUN-05,IT_PROG,480000,0,103,60
106,Valli,Pataballa,VPATABAL,5904234560,05-FEB-06,IT_PROG,480000,0,103,60
107,Diana,Lorentz,DLORENTZ,5904235567,07-FEB-07,IT_PROG,420000,0,103,60
108,Nancy,Greenberg,NGREENBE,5151244569,17-AUG-02,FI_MGR,1200800,0,101,100
109,Daniel,Faviet,DFAVIET,5151244169,16-AUG-02,FI_ACCOUNT,900000,0,108,100
110,John,Chen,JCHEN,5151244269,28-SEP-05,FI_ACCOUNT,820000,0,108,100
111,Ismael,Sciarra,ISCIARRA,5151244369,30-SEP-05,FI_ACCOUNT,770000,0,108,100
112,JoseManuel,Urman,JMURMAN,5151244469,07-MAR-06,FI_ACCOUNT,780000,0,108,100
113,Luis,Popp,LPOPP,5151244567,07-DEC-07,FI_ACCOUNT,690000,0,108,100
114,Den,Raphaely,DRAPHEAL,5151274561,07-DEC-02,PU_MAN,1100000,0,100,30
115,Alexander,Khoo,AKHOO,5151274562,18-MAY-03,PU_CLERK,310000,0,114,30
116,Shelli,Baida,SBAIDA,5151274563,24-DEC-05,PU_CLERK,290000,0,114,30
117,Sigal,Tobias,STOBIAS,5151274564,24-JUL-05,PU_CLERK,280000,0,114,30
118,Guy,Himuro,GHIMURO,5151274565,15-NOV-06,PU_CLERK,260000,0,114,30
119,Karen,Colmenares,KCOLMENA,5151274566,10-AUG-07,PU_CLERK,250000,0,114,30
120,Matthew,Weiss,MWEISS,6501231234,18-JUL-04,ST_MAN,800000,0,100,50
121,Adam,Fripp,AFRIPP,6501232234,10-APR-05,ST_MAN,820000,0,100,50
122,Payam,Kaufling,PKAUFLIN,6501233234,01-MAY-03,ST_MAN,790000,0,100,50
123,Shanta,Vollman,SVOLLMAN,6501234234,10-OCT-05,ST_MAN,650000,0,100,50
124,Kevin,Mourgos,KMOURGOS,6501235234,16-NOV-07,ST_MAN,580000,0,100,50
125,Julia,Nayer,JNAYER,6501241214,16-JUL-05,ST_CLERK,320000,0,120,50
126,Irene,Mikkilineni,IMIKKILI,6501241224,28-SEP-06,ST_CLERK,270000,0,120,50
127,James,Landry,JLANDRY,6501241334,14-JAN-07,ST_CLERK,240000,0,120,50
128,Steven,Markle,SMARKLE,6501241434,08-MAR-08,ST_CLERK,220000,0,120,50
129,Laura,Bissot,LBISSOT,6501245234,20-AUG-05,ST_CLERK,330000,0,121,50
130,Mozhe,Atkinson,MATKINSO,6501246234,30-OCT-05,ST_CLERK,280000,0,121,50
131,James,Marlow,JAMRLOW,6501247234,16-FEB-05,ST_CLERK,250000,0,121,50
132,TJ,Olson,TJOLSON,6501248234,10-APR-07,ST_CLERK,210000,0,121,50
133,Jason,Mallin,JMALLIN,6501271934,14-JUN-04,ST_CLERK,330000,0,122,50
134,Michael,Rogers,MROGERS,6501271834,26-AUG-06,ST_CLERK,290000,0,122,50
135,Ki,Gee,KGEE,6501271734,12-DEC-07,ST_CLERK,240000,0,122,50
136,Hazel,Philtanker,HPHILTAN,6501271634,06-FEB-08,ST_CLERK,220000,0,122,50
137,Renske,Ladwig,RLADWIG,6501211234,14-JUL-03,ST_CLERK,360000,0,123,50
138,Stephen,Stiles,SSTILES,6501212034,26-OCT-05,ST_CLERK,320000,0,123,50
139,John,Seo,JSEO,6501212019,12-FEB-06,ST_CLERK,270000,0,123,50
140,Joshua,Patel,JPATEL,6501211834,06-APR-06,ST_CLERK,250000,0,123,50
141,Trenna,Rajs,TRAJS,6501218009,17-OCT-03,ST_CLERK,350000,0,124,50
142,Curtis,Davies,CDAVIES,6501212994,29-JAN-05,ST_CLERK,310000,0,124,50
143,Randall,Matos,RMATOS,6501212874,15-MAR-06,ST_CLERK,260000,0,124,50
144,Peter,Vargas,PVARGAS,6501212004,09-JUL-06,ST_CLERK,250000,0,124,50
145,John,Russell,JRUSSEL,11441344429268,01-OCT-04,SA_MAN,1400000,0.4,100,80
146,Karen,Partners,KPARTNER,11441344467268,05-JAN-05,SA_MAN,1350000,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,11441344429278,10-MAR-05,SA_MAN,1200000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,11441344619268,15-OCT-07,SA_MAN,1100000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,11441344429018,29-JAN-08,SA_MAN,1050000,0.2,100,80
150,Peter,Tucker,PTUCKER,11441344129268,30-JAN-05,SA_REP,1000000,0.3,145,80
151,David,Bernstein,DBERNSTE,11441344345268,24-MAR-05,SA_REP,950000,0.25,145,80
152,Peter,Hall,PHALL,11441344478968,20-AUG-05,SA_REP,900000,0.25,145,80
153,Christopher,Olsen,COLSEN,11441344498718,30-MAR-06,SA_REP,800000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,11441344987668,09-DEC-06,SA_REP,750000,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,11441344486508,23-NOV-07,SA_REP,700000,0.15,145,80
156,Janette,King,JKING,11441345429268,30-JAN-04,SA_REP,1000000,0.35,146,80
157,Patrick,Sully,PSULLY,11441345929268,04-MAR-04,SA_REP,950000,0.35,146,80
158,Allan,McEwen,AMCEWEN,11441345829268,01-AUG-04,SA_REP,900000,0.35,146,80
159,Lindsey,Smith,LSMITH,11441345729268,10-MAR-05,SA_REP,800000,0.3,146,80
160,Louise,Doran,LDORAN,11441345629268,15-DEC-05,SA_REP,750000,0.3,146,80
161,Sarath,Sewall,SSEWALL,11441345529268,03-NOV-06,SA_REP,700000,0.25,146,80
162,Clara,Vishney,CVISHNEY,11441346129268,11-NOV-05,SA_REP,1050000,0.25,147,80
163,Danielle,Greene,DGREENE,11441346229268,19-MAR-07,SA_REP,950000,0.15,147,80
164,Mattea,Marvins,MMARVINS,11441346329268,24-JAN-08,SA_REP,720000,0.1,147,80
165,David,Lee,DLEE,11441346529268,23-FEB-08,SA_REP,680000,0.1,147,80
166,Sundar,Ande,SANDE,11441346629268,24-MAR-08,SA_REP,640000,0.1,147,80
167,Amit,Banda,ABANDA,11441346729268,21-APR-08,SA_REP,620000,0.1,147,80
